Date,Open,High,Low,Close,Volume,"Up","Down","RSI(14)"
03/02/2021,718.28,721.11,685,686.44,23732158,23732158,,38.14794945899024
03/01/2021,690.11,719,685.05,718.4299,27136239,27136239,,41.963127040711946
02/26/2021,700,706.7,659.51,675.5,41089173,41089173,,33.70054405277142
02/25/2021,726.15,737.2066,670.58,682.22,39023855,39023855,,34.41266682291837
02/24/2021,711.85,745,694.17,742.02,36766950,36766950,,41.6925344891486
02/23/2021,662.13,713.6099,619,698.84,66606882,66606882,,32.05516851256075
02/22/2021,762.64,768.5,710.2,714.5,37269716,37269716,,33.94459157172443
02/19/2021,795,796.7899,777.37,781.3,18958255,18958255,,44.28345087322364
02/18/2021,780.9,794.69,776.27,787.38,17957058,17957058,,45.45352130576138
02/17/2021,779.09,799.84,762.01,798.15,26078898,26078898,,47.51872437828662
02/16/2021,818,821,792.44,796.22,19802324,19802324,,47.118915434875966
02/12/2021,801.26,817.33,785.3306,816.12,23768313,23768313,,50.82611643141682
02/11/2021,812.44,829.8799,801.725,811.66,21622753,21622753,,50.00755299525157
02/10/2021,843.635,844.82,800.02,804.82,36216090,36216090,,48.79366651959749
02/09/2021,855.12,859.8,841.75,849.46,15157651,15157651,,57.21241100617954
02/08/2021,869.67,877.77,854.75,863.42,20161719,20161719,,60.2300965566984
02/05/2021,845,864.77,838.97,852.23,18566637,18566637,,58.60495156648483
02/04/2021,855,856.5,833.42,849.99,15812661,15812661,,58.288118423111456
02/03/2021,877.02,878.08,853.0646,854.69,18343510,18343510,,59.17049210977904
02/02/2021,844.68,880.5,842.2006,872.79,24346213,24346213,,62.55693707750781
02/01/2021,814.29,842,795.5601,839.81,25391385,25391385,,58.54245201485869
01/29/2021,830.0003,842.41,780.1,793.53,34990754,34990754,,51.80999722891207
01/28/2021,820,848,801,835.4299,26378048,26378048,,60.00157233107354
01/27/2021,870.35,891.5,858.66,864.16,25258479,25258479,,66.71796548710417
01/26/2021,891.38,895.9,871.6,883.09,23131603,23131603,,71.62315413801784
01/25/2021,855,900.4,838.8201,880.8,41173397,41173397,,71.38684591247697
01/22/2021,834.3099,848,828.62,846.64,20066497,20066497,,67.65601136284202
01/21/2021,855,855.7199,841.4201,844.99,20598133,20598133,,67.46574477737056
01/20/2021,858.74,859.5,837.28,850.45,25665883,25665883,,68.70767797226289
01/19/2021,837.8,850,833,844.55,25366980,25366980,,68.11880144744075
01/15/2021,852,859.9,819.1,826.16,38777596,38777596,,66.28230826299469
01/14/2021,843.39,863,838.75,845,31266327,31266327,,70.12506079615702
01/13/2021,852.76,860.47,832,854.41,33312496,33312496,,72.06272958181893
01/12/2021,831,868,827.34,849.44,46270720,46270720,,71.67893579216454
01/11/2021,849.4,854.43,803.6222,811.19,59554146,59554146,,68.59580456353302
01/08/2021,856,884.49,838.39,880.02,75055528,75055528,,83.84819037525351
01/07/2021,777.63,816.99,775.2,816.04,51498948,51498948,,80.0120961903501
01/06/2021,758.49,774,749.1,755.98,44699965,44699965,,74.7937524957354
01/05/2021,723.66,740.84,719.2,735.11,32245165,32245165,,72.4750536387209
01/04/2021,719.46,744.4899,717.1894,729.77,48638189,48638189,,71.86002696272878
12/31/2020,699.99,718.72,691.12,705.67,49649928,49649928,,68.95278467070453
12/30/2020,672,696.6,668.3603,694.78,42846021,42846021,,67.54591768647208
12/29/2020,661,669.9,655,665.99,22910811,22910811,,63.48387828288544
12/28/2020,674.51,681.4,660.8,663.69,32278561,32278561,,63.14165296056944
12/24/2020,642.99,666.09,641,661.77,22865568,22865568,,62.87192958665361
12/23/2020,632.2,651.4999,622.5701,645.98,33172972,33172972,,60.6742950950822
12/22/2020,648,649.88,614.23,640.34,51861644,51861644,,59.886791074549194
12/21/2020,666.24,668.5,646.07,649.86,58045264,58045264,,61.82736486579783
12/18/2020,668.9,695,628.54,695,222126194,222126194,,72.11635662868562
12/17/2020,628.19,658.82,619.5,655.9,56270144,56270144,,67.80732516877116
12/16/2020,628.23,632.5,605,622.77,42095813,42095813,,63.351287393664066
12/15/2020,643.28,646.9,623.8,633.25,45223559,45223559,,66.03619281111861
12/14/2020,619,642.7499,610.2001,639.83,52040649,52040649,,67.70921322952663
12/11/2020,615.01,624,596.8,609.99,46474974,46474974,,63.85281437114367
12/10/2020,574.37,627.75,566.34,627.07,67083153,67083153,,68.180629382178
