Date,Open,High,Low,Close,Volume
09/08/2010,9.277857000000001,9.442496,9.253571,9.39,526428056
09/07/2010,9.165714,9.268928,9.151785,9.2075,342664420
09/03/2010,9.110357,9.242142,9.089285,9.241785,520662716
09/02/2010,8.973571,9.006071,8.8775,9.006071,415033612
09/01/2010,8.838214,8.980714,8.795714,8.940357,696473932
08/31/2010,8.6375,8.734285,8.583928,8.682142,420607432
08/30/2010,8.598571,8.776785,8.595717,8.660714,382946172
08/27/2010,8.633928000000001,8.664642,8.412857,8.629285,548456188
08/26/2010,8.766071,8.776785,8.58135,8.581428,466263728
08/25/2010,8.501428,8.713928,8.471428,8.674642,596410276
08/24/2010,8.666785,8.678571,8.523214,8.568928,601678952
08/23/2010,8.9925,9,8.758928000000001,8.778571,413714196
08/20/2010,8.906785,9.068571,8.892857,8.915714,383453168
08/19/2010,9.03,9.052857,8.881428,8.924285,426545280
08/18/2010,9.012857,9.095357,8.985,9.038214,338882292
08/17/2010,8.931428,9.093928,8.9,8.998928,422431352
08/16/2010,8.842141999999999,8.928927999999999,8.807857,8.844285,318123512
08/13/2010,8.9875,8.995714,8.896071,8.896428,354681152
08/12/2010,8.810357,9.039285,8.79,8.9925,534451512
08/11/2010,9.121428,9.131785,8.921785,8.935357,619328612
08/10/2010,9.280357,9.301785,9.198214,9.264642,451768212
08/09/2010,9.338571,9.3625,9.270357,9.348214,302933456
08/06/2010,9.277857000000001,9.338928,9.201071,9.288964,444944164
08/05/2010,9.3475,9.399285,9.305357,9.346428,289201612
08/04/2010,9.387142,9.438571,9.296821,9.392142,420491400
08/03/2010,9.321785,9.402142,9.265,9.354642,417488568
08/02/2010,9.301428,9.378214,9.272142,9.351785,426789972
07/30/2010,9.138928,9.275,9.103571,9.1875,448385504
07/29/2010,9.311071,9.380357,9.146428,9.218214,643641292
07/28/2010,9.416785,9.499642,9.294642,9.32,519739500
07/27/2010,9.316785,9.457142,9.296428,9.431428,584352552
07/26/2010,9.285714,9.289278,9.203928,9.26,420266308
07/23/2010,9.181785,9.299285,9.152857,9.283571,533319360
07/22/2010,9.202857,9.285714,9.118214,9.250857,645048012
07/21/2010,9.4675,9.469642,9.071428,9.08,1185314928
07/20/2010,8.675,9.032142,8.571785,8.996071,1072179668
07/19/2010,8.924285,8.924285,8.557142,8.770714,1024059708
07/16/2010,9.042142,9.106071,8.871785,8.925,1039034080
07/15/2010,8.865357,9.1775,8.832142,8.980357,823948608
07/14/2010,8.906428,9.135714,8.892857,9.025964,812016604
07/13/2010,9.154285,9.157142,8.801071,8.992785,1190406980
07/12/2010,9.233214,9.351785,9.102142,9.18875,562399684
07/09/2010,9.174642,9.282142,9.112857,9.272142,433374928
07/08/2010,9.374285,9.389285,9.103214,9.2175,737508772
07/07/2010,8.946071,9.241785,8.919642,9.238035,653960356
07/06/2010,8.964285,9.028571,8.791428,8.879642,614725944
07/02/2010,8.946071,8.961785,8.685714,8.819285,694319164
07/01/2010,9.082142,9.1,8.686428,8.874285,1022530516
06/30/2010,9.168214,9.213214,8.928927999999999,8.983214,738823372
06/29/2010,9.432857,9.4425,9.082142,9.148928,1132639340
06/28/2010,9.533214,9.633928000000001,9.447142,9.582142,585148424
06/25/2010,9.645,9.6525,9.493214,9.525,549666908
06/24/2010,9.678571,9.756964,9.575,9.607142,714527044
06/23/2010,9.806428,9.809285,9.567857,9.6775,768158020
06/22/2010,9.72,9.856071,9.696428000000001,9.780357,716441572
06/21/2010,9.9175,9.964642,9.5975,9.648928,776020196
06/18/2010,9.723214,9.821428000000001,9.693571,9.788357,784240632
06/17/2010,9.664285,9.746428,9.625,9.709642,873001388
06/16/2010,9.325,9.5625,9.308221,9.544642,783246296
06/15/2010,9.13,9.280357,9.125,9.274642,584181500
06/14/2010,9.141428,9.255357,9.071785,9.081428,602487480
